codigo;descricao;porte;ch;co
30914175;Linfadenectomia pélvica robótica;;;
31201180;Prostatavesiculectomia radical robótica;;;
87000199;Colocação de aparelho ortodôntico removível;;;
87000180;Sedação medicamentosa ambulatorial em pacientes com necessidades especiais em odontologia;;;
87000164;Sedação consciente com óxido nitroso e oxigênio em pacientes com necessidades especiais em odontologia;;;
87000148;Estabilização por meio de contenção física e/ou mecânica em pacientes com necessidades especiais em odontologia ;;;
87000067;Coroa de policarbonato em dente permanente;;;
87000059;Coroa de aço em dente permanente;;;
87000040;Coroa de acetato em dente permanente;;;
87000032;Condicionamento em odontologia para pacientes com necessidades especiais;;;
87000024;Atividade educativa para pais e/ou cuidadores ;;;
87000016;Atividade educativa em odontologia para pais e/ou cuidadores de pacientes com necessidades especiais;;;
86000616;Recolocação de mantenedor de espaço;;;
86000608;Placa de contenção ortodôntica;;;
86000594;Splinter;;;
86000586;Simões Network;;;
86000578;Regulador de função de Frankel;;;
86000560;Quadrihélice;;;
86000551;Plano inclinado;;;
86000543;Plano anterior fixo;;;
86000535;Placa lábio-ativa ;;;
86000527;Placa encapsulada de Maurício;;;
86000519;Placa dupla de Sanders;;;
86000500;Placa de verticalização de caninos;;;
86000497;Placa de Schwarz;;;
86000489;Placa de mordida ortodôntica;;;
86000470;Placa de Hawley - com torno expansor;;;
86000462;Placa de Hawley;;;
86000454;Placa de distalização de molares;;;
86000446;Pistas indiretas de Planas;;;
86000438;Pistas diretas de Planas - superior e inferior;;;
86000420;Obtenção de modelos gnatostáticos de Planas;;;
86000411;Monobloco;;;
86000403;Modelador elástico de Bimler;;;
86000390;Mentoneira;;;
86000381;Máscara facial - Delaire e Tração Reversa;;;
86000373;Manutenção de aparelho ortodôntico - aparelho removível;;;
86000365;Manutenção de aparelho ortodôntico - aparelho ortopédico;;;
86000357;Manutenção de aparelho ortodôntico - aparelho fixo;;;
86000330;Herbst encapsulado;;;
86000322;Grade palatina removível;;;
86000314;Grade palatina fixa ;;;
86000306;Gianelly;;;
86000292;Documentação eletromiográfica;;;
86000284;Distalizador tipo Jones Jig ;;;
86000276;Distalizador Pendulo/Pendex;;;
86000268;Distalizador Distal Jet;;;
86000250;Distalizador de Hilgers;;;
86000241;Distalizador com mola nitinol;;;
86000233;Disjuntor palatino - Macnamara;;;
86000225;Disjuntor palatino - Hirax;;;
86000209;Contenção fixa por arcada, em ortodontia;;;
86000195;Botão de Nance;;;
86000187;Blocos geminados de Clark - twinblock;;;
86000179;Bionator de Balters;;;
86000160;Barra transpalatina removível;;;
86000152;Barra transpalatina fixa;;;
86000144;Arco lingual ;;;
86000128;Aparelho removível com alças bionator invertida ou de Escheler;;;
86000110;Aparelho ortodôntico fixo metálico parcial;;;
86000098;Aparelho ortodôntico fixo metálico;;;
86000080;Aparelho ortodôntico fixo estético parcial;;;
86000063;Aparelho ortodôntico fixo estético;;;
86000055;Aparelho extra-bucal ;;;
86000047;Aparelho de Thurow;;;
86000039;Aparelho de protração mandibular -  APM ;;;
86000020;Aparelho de Klammt;;;
86000012;Aletas Gomes;;;
85500224;Tratamento de perimplantite por implante;;;
85500216;Plasma rico em plaquetas (PRP);;;
85500208;Barra clipe;;;
85500194;Protocolo Branemark provisório para 5 implantes;;;
85500186;Protocolo Branemark provisório para 4 implantes;;;
85500178;Protocolo Branemark para 5 implantes;;;
85500160;Protocolo Branemark para 4 implantes ;;;
85500151;Protocolo Branemark em carga imediata para 5 implantes - parte protética;;;
85500143;Protocolo Branemark em carga imediata para 4 implantes - parte protética;;;
85500135;Prótese parcial fixa provisória em carga imediata;;;
85500127;Prótese parcial fixa implanto suportada;;;
85500119;Overdenture barra clipe ou o'ring sobre três implantes;;;
85500100;Overdenture barra clipe ou o'ring sobre quatro ou mais implantes;;;
85500097;Overdenture barra clipe ou o'ring sobre dois implantes;;;
85500089;Manutenção de prótese sobre implantes;;;
85500070;Intermediário protético (para implantes);;;
85500062;Guia cirúrgico para implante;;;
85500054;Coroa total metalo plástica sobre implante - resina acrílica;;;
85500046;Coroa total metalo plástica sobre implante - cerômero;;;
85500038;Coroa total metalo cerâmica sobre implante;;;
85500020;Coroa provisória sobre implante com carga imediata;;;
85500011;Coroa provisória sobre implante;;;
85400610;Prótese total caracterizada;;;
85400602;Ponto de solda;;;
85400599;Planejamento em prótese;;;
85400580;JIG ou Front plato - órtese reposicionadora;;;
85400572;Coroa 3/4 ou 4/5;;;
85400564;Prótese total imediata sobre implantes;;;
85400556;Restauração metálica fundida;;;
85400548;Restauração em cerômero - inlay ;;;
85400530;Restauração em cerômero - onlay;;;
85400521;Restauração em cerâmica pura - onlay;;;
85400513;Restauração em cerâmica pura - inlay ;;;
85400505;Remoção de trabalho protético;;;
85400491;Reembasamento de prótese total ou parcial - mediato (em laboratório);;;
85400483;Reembasamento de prótese total ou parcial - imediato (em consultório);;;
85400475;Reembasamento de coroa provisória;;;
85400467;Recimentação de trabalhos protéticos;;;
85400459;Provisório para Restauração metálica fundida;;;
85400440;Provisório para Inlay/Onlay;;;
85400432;Provisório para Faceta;;;
85400424;Prótese total incolor;;;
85400416;Prótese total imediata;;;
85400408;Prótese total;;;
